Date,Composants de coûts,Devise,Type de données,Source de données,Commerce extérieur,Indicateur,Marché,Produit,Groupe de produits,Système de production,Provenance du produit,Propriétés du produit,Sous-groupe de produits,Région de vente,Unité,Mode d’utilisation,Echelon de création de valeur_Détail,Echelon de création de valeur ,Prix
01-2024,TVA incluse,Francs,NA,"OFAG, secteur Analyses du marché",NA,Prix,Lait et produits laitiers,Lait drink UHT,Lait de consommation,Bio,Suisse,NA,Lait drink,NA,Litre,NA,À partir du commerce de détail,Consommation,1.867663
01-2024,TVA incluse,Francs,NA,"OFAG, secteur Analyses du marché",NA,Prix,Lait et produits laitiers,Crème entière UHT 35%,Crème,Conventionnel,Suisse,NA,Crème entière,NA,Litre,NA,À partir du commerce de détail,Consommation,6.777405
01-2024,TVA incluse,Francs,NA,"OFAG, secteur Analyses du marché",NA,Prix,Lait et produits laitiers,Lait entier UHT,Lait de consommation,Bio,Suisse,NA,Lait entier,NA,Litre,NA,À partir du commerce de détail,Consommation,1.867663
01-2024,TVA incluse,Francs,NA,"OFAG, secteur Analyses du marché",NA,Prix,Lait et produits laitiers,Edamer CH,Fromage,Conventionnel,Suisse,NA,Edamer CH,NA,kg,NA,À partir du commerce de détail,Consommation,15.536507
01-2024,TVA incluse,Francs,NA,"OFAG, secteur Analyses du marché",NA,Prix,Lait et produits laitiers,Tilsit doux,Fromage,Conventionnel,Suisse,NA,Tilsit,NA,kg,NA,À partir du commerce de détail,Consommation,15.574202
01-2024,TVA incluse,Francs,NA,"OFAG, secteur Analyses du marché",NA,Prix,Lait et produits laitiers,Demi-crème UHT 25%,Crème,Conventionnel,Suisse,NA,Demi-crème,NA,Litre,NA,À partir du commerce de détail,Consommation,5.151914
01-2024,TVA incluse,Francs,NA,"OFAG, secteur Analyses du marché",NA,Prix,Lait et produits laitiers,"Fromage à pâte molle, croûte mixte",Fromage,Conventionnel,Suisse,NA,"Fromage à pâte molle, croûte mixte",NA,kg,NA,À partir du commerce de détail,Consommation,27.05098
01-2024,TVA incluse,Francs,NA,"OFAG, secteur Analyses du marché",NA,Prix,Lait et produits laitiers,Camembert 60%,Fromage,Conventionnel,Suisse,NA,Camembert 60%,NA,kg,NA,À partir du commerce de détail,Consommation,22.895159
01-2024,TVA incluse,Francs,NA,"OFAG, secteur Analyses du marché",NA,Prix,Lait et produits laitiers,Crème à café UHT 15%,Crème,Conventionnel,Suisse,NA,Crème à café,NA,Litre,NA,À partir du commerce de détail,Consommation,4.014264
01-2024,TVA incluse,Francs,NA,"OFAG, secteur Analyses du marché",NA,Prix,Lait et produits laitiers,Vacherin fribourgeois,Fromage,Conventionnel,Suisse,NA,Vacherin fribourgeois,NA,kg,NA,À partir du commerce de détail,Consommation,21.087207
12-2023,TVA incluse,Francs,NA,"OFAG, secteur Analyses du marché",NA,Prix,Lait et produits laitiers,Beurre à rôtir,Beurre,Conventionnel,Suisse,NA,Beurre à rôtir,NA,kg,NA,À partir du commerce de détail,Consommation,23.868626
12-2023,TVA incluse,Francs,NA,"OFAG, secteur Analyses du marché",NA,Prix,Lait et produits laitiers,Appenzell surchoix,Fromage,Conventionnel,Suisse,NA,Appenzell,NA,kg,NA,À partir du commerce de détail,Consommation,18.311063
12-2023,TVA incluse,Francs,NA,"OFAG, secteur Analyses du marché",NA,Prix,Lait et produits laitiers,Gruyère,Fromage,Bio,Suisse,NA,Gruyère,NA,kg,NA,À partir du commerce de détail,Consommation,26.787533
12-2023,TVA incluse,Francs,NA,"OFAG, secteur Analyses du marché",NA,Prix,Lait et produits laitiers,Tilsit doux,Fromage,Conventionnel,Suisse,NA,Tilsit,NA,kg,NA,À partir du commerce de détail,Consommation,15.411355
12-2023,TVA incluse,Francs,NA,"OFAG, secteur Analyses du marché",NA,Prix,Lait et produits laitiers,Brie CH 45%,Fromage,Conventionnel,Suisse,NA,Brie CH 45%,NA,kg,NA,À partir du commerce de détail,Consommation,20.113896
12-2023,TVA incluse,Francs,NA,"OFAG, secteur Analyses du marché",NA,Prix,Lait et produits laitiers,Edamer CH,Fromage,Conventionnel,Suisse,NA,Edamer CH,NA,kg,NA,À partir du commerce de détail,Consommation,15.536507
12-2023,TVA incluse,Francs,NA,"OFAG, secteur Analyses du marché",NA,Prix,Lait et produits laitiers,Tilsit surchoix,Fromage,Conventionnel,Suisse,NA,Tilsit,NA,kg,NA,À partir du commerce de détail,Consommation,22.277368
12-2023,TVA incluse,Francs,NA,"OFAG, secteur Analyses du marché",NA,Prix,Lait et produits laitiers,"Fromage à pâte molle, croûte mixte",Fromage,Conventionnel,Suisse,NA,"Fromage à pâte molle, croûte mixte",NA,kg,NA,À partir du commerce de détail,Consommation,27.274051
12-2023,TVA incluse,Francs,NA,"OFAG, secteur Analyses du marché",NA,Prix,Lait et produits laitiers,Emmentaler,Fromage,Bio,Suisse,NA,Emmentaler,NA,kg,NA,À partir du commerce de détail,Consommation,23.787533
12-2023,TVA incluse,Francs,NA,"OFAG, secteur Analyses du marché",NA,Prix,Lait et produits laitiers,Tête de Moine,Fromage,Conventionnel,Suisse,NA,Tête de Moine,NA,kg,NA,À partir du commerce de détail,Consommation,22.026989
12-2023,TVA incluse,Francs,NA,"OFAG, secteur Analyses du marché",NA,Prix,Lait et produits laitiers,Tilsit,Fromage,Bio,Suisse,NA,Tilsit,NA,kg,NA,À partir du commerce de détail,Consommation,21.800264
12-2023,TVA incluse,Francs,NA,"OFAG, secteur Analyses du marché",NA,Prix,Lait et produits laitiers,Brie CH 45%,Fromage,Bio,Suisse,NA,Brie CH 45%,NA,kg,NA,À partir du commerce de détail,Consommation,23.888889
12-2023,TVA incluse,Francs,NA,"OFAG, secteur Analyses du marché",NA,Prix,Lait et produits laitiers,Yogourt nature,Yogourt,Conventionnel,Suisse,NA,Yogourt nature,NA,kg,NA,À partir du commerce de détail,Consommation,2.642947
12-2023,TVA incluse,Francs,NA,"OFAG, secteur Analyses du marché",NA,Prix,Lait et produits laitiers,Appenzell doux,Fromage,Conventionnel,Suisse,NA,Appenzell,NA,kg,NA,À partir du commerce de détail,Consommation,17.507628
12-2023,TVA incluse,Francs,NA,"OFAG, secteur Analyses du marché",NA,Prix,Lait et produits laitiers,Beurre de choix,Beurre,Conventionnel,Suisse,NA,Beurre de choix,NA,kg,NA,À partir du commerce de détail,Consommation,18.125135
12-2023,TVA incluse,Francs,NA,"OFAG, secteur Analyses du marché",NA,Prix,Lait et produits laitiers,Gruyère doux,Fromage,Conventionnel,Suisse,NA,Gruyère,NA,kg,NA,À partir du commerce de détail,Consommation,19.161612
12-2023,TVA incluse,Francs,NA,"OFAG, secteur Analyses du marché",NA,Prix,Lait et produits laitiers,Emmentaler doux,Fromage,Conventionnel,Suisse,NA,Emmentaler,NA,kg,NA,À partir du commerce de détail,Consommation,17.444881
12-2023,TVA incluse,Francs,NA,"OFAG, secteur Analyses du marché",NA,Prix,Lait et produits laitiers,Lait entier pasteurisé,Lait de consommation,Bio,Suisse,NA,Lait entier,NA,Litre,NA,À partir du commerce de détail,Consommation,1.955542
12-2023,TVA incluse,Francs,NA,"OFAG, secteur Analyses du marché",NA,Prix,Lait et produits laitiers,Crème entière UHT 35%,Crème,Bio,Suisse,NA,Crème entière,NA,Litre,NA,À partir du commerce de détail,Consommation,14.545597
12-2023,TVA incluse,Francs,NA,"OFAG, secteur Analyses du marché",NA,Prix,Lait et produits laitiers,Beurre de cuisine (Le Beurre),Beurre,Conventionnel,Suisse,NA,Beurre de cuisine,NA,kg,NA,À partir du commerce de détail,Consommation,15.842439
12-2023,TVA incluse,Francs,NA,"OFAG, secteur Analyses du marché",NA,Prix,Lait et produits laitiers,Mozzarella,Fromage,Bio,Suisse,NA,Mozzarella,NA,kg,NA,À partir du commerce de détail,Consommation,15
12-2023,TVA incluse,Francs,NA,"OFAG, secteur Analyses du marché",NA,Prix,Lait et produits laitiers,Lait drink pasteurisé,Lait de consommation,Bio,Suisse,NA,Lait drink,NA,Litre,NA,À partir du commerce de détail,Consommation,1.955542
12-2023,TVA incluse,Francs,NA,"OFAG, secteur Analyses du marché",NA,Prix,Lait et produits laitiers,Emmentaler surchoix,Fromage,Conventionnel,Suisse,NA,Emmentaler,NA,kg,NA,À partir du commerce de détail,Consommation,21.323644
12-2023,TVA incluse,Francs,NA,"OFAG, secteur Analyses du marché",NA,Prix,Lait et produits laitiers,Cottage cheese nature 15%,Fromage,Conventionnel,Suisse,NA,Cottage cheese,NA,kg,NA,À partir du commerce de détail,Consommation,9.360608
12-2023,TVA incluse,Francs,NA,"OFAG, secteur Analyses du marché",NA,Prix,Lait et produits laitiers,Mozzarella,Fromage,Conventionnel,Suisse,NA,Mozzarella,NA,kg,NA,À partir du commerce de détail,Consommation,11.158085
12-2023,TVA incluse,Francs,NA,"OFAG, secteur Analyses du marché",NA,Prix,Lait et produits laitiers,Demi-crème UHT 25%,Crème,Conventionnel,Suisse,NA,Demi-crème,NA,Litre,NA,À partir du commerce de détail,Consommation,5.255033
12-2023,TVA incluse,Francs,NA,"OFAG, secteur Analyses du marché",NA,Prix,Lait et produits laitiers,Lait drink pasteurisé,Lait de consommation,Conventionnel,Suisse,NA,Lait drink,NA,Litre,NA,À partir du commerce de détail,Consommation,1.714367
12-2023,TVA incluse,Francs,NA,"OFAG, secteur Analyses du marché",NA,Prix,Lait et produits laitiers,Lait entier pasteurisé,Lait de consommation,Conventionnel,Suisse,NA,Lait entier,NA,Litre,NA,À partir du commerce de détail,Consommation,1.712184
12-2023,TVA incluse,Francs,NA,"OFAG, secteur Analyses du marché",NA,Prix,Lait et produits laitiers,Lait drink UHT,Lait de consommation,Conventionnel,Suisse,NA,Lait drink,NA,Litre,NA,À partir du commerce de détail,Consommation,1.507889
12-2023,TVA incluse,Francs,NA,"OFAG, secteur Analyses du marché",NA,Prix,Lait et produits laitiers,Yogourt aux fruits,Yogourt,Bio,Suisse,NA,"Yogourt, autres fruits",NA,kg,NA,À partir du commerce de détail,Consommation,4.665166
12-2023,TVA incluse,Francs,NA,"OFAG, secteur Analyses du marché",NA,Prix,Lait et produits laitiers,Crème à café UHT 15%,Crème,Conventionnel,Suisse,NA,Crème à café,NA,Litre,NA,À partir du commerce de détail,Consommation,4.017341
12-2023,TVA incluse,Francs,NA,"OFAG, secteur Analyses du marché",NA,Prix,Lait et produits laitiers,Gruyère surchoix,Fromage,Conventionnel,Suisse,NA,Gruyère,NA,kg,NA,À partir du commerce de détail,Consommation,23.150781
12-2023,TVA incluse,Francs,NA,"OFAG, secteur Analyses du marché",NA,Prix,Lait et produits laitiers,Crème entière UHT 35%,Crème,Conventionnel,Suisse,NA,Crème entière,NA,Litre,NA,À partir du commerce de détail,Consommation,6.78231
12-2023,TVA incluse,Francs,NA,"OFAG, secteur Analyses du marché",NA,Prix,Lait et produits laitiers,Yogourt nature,Yogourt,Bio,Suisse,NA,Yogourt nature,NA,kg,NA,À partir du commerce de détail,Consommation,3.99925
12-2023,TVA incluse,Francs,NA,"OFAG, secteur Analyses du marché",NA,Prix,Lait et produits laitiers,Fromage à raclette,Fromage,Conventionnel,Suisse,NA,Fromage à raclette,NA,kg,NA,À partir du commerce de détail,Consommation,19.717561
12-2023,TVA incluse,Francs,NA,"OFAG, secteur Analyses du marché",NA,Prix,Lait et produits laitiers,Yogourt aux fruits,Yogourt,Conventionnel,Suisse,NA,"Yogourt, autres fruits",NA,kg,NA,À partir du commerce de détail,Consommation,3.606943
12-2023,TVA incluse,Francs,NA,"OFAG, secteur Analyses du marché",NA,Prix,Lait et produits laitiers,Tomme,Fromage,Conventionnel,Suisse,NA,Tomme,NA,kg,NA,À partir du commerce de détail,Consommation,20.277634
12-2023,TVA incluse,Francs,NA,"OFAG, secteur Analyses du marché",NA,Prix,Lait et produits laitiers,Sbrinz,Fromage,Conventionnel,Suisse,NA,Sbrinz,NA,kg,NA,À partir du commerce de détail,Consommation,25.495187
12-2023,TVA incluse,Francs,NA,"OFAG, secteur Analyses du marché",NA,Prix,Lait et produits laitiers,Vacherin fribourgeois,Fromage,Conventionnel,Suisse,NA,Vacherin fribourgeois,NA,kg,NA,À partir du commerce de détail,Consommation,21.084965
12-2023,TVA incluse,Francs,NA,"OFAG, secteur Analyses du marché",NA,Prix,Lait et produits laitiers,Camembert 60%,Fromage,Conventionnel,Suisse,NA,Camembert 60%,NA,kg,NA,À partir du commerce de détail,Consommation,22.897571
12-2023,TVA incluse,Francs,NA,"OFAG, secteur Analyses du marché",NA,Prix,Lait et produits laitiers,Lait entier UHT,Lait de consommation,Bio,Suisse,NA,Lait entier,NA,Litre,NA,À partir du commerce de détail,Consommation,1.867663
12-2023,TVA incluse,Francs,NA,"OFAG, secteur Analyses du marché",NA,Prix,Lait et produits laitiers,Lait drink UHT,Lait de consommation,Bio,Suisse,NA,Lait drink,NA,Litre,NA,À partir du commerce de détail,Consommation,1.867663
12-2023,TVA incluse,Francs,NA,"OFAG, secteur Analyses du marché",NA,Prix,Lait et produits laitiers,Lait entier UHT,Lait de consommation,Conventionnel,Suisse,NA,Lait entier,NA,Litre,NA,À partir du commerce de détail,Consommation,1.497243
12-2023,TVA incluse,Francs,NA,"OFAG, secteur Analyses du marché",NA,Prix,Lait et produits laitiers,Beurre de choix,Beurre,Bio,Suisse,NA,Beurre de choix,NA,kg,NA,À partir du commerce de détail,Consommation,21.991466
12-2023,TVA incluse,Francs,NA,"OFAG, secteur Analyses du marché",NA,Prix,Lait et produits laitiers,Lait écrémé UHT,Lait de consommation,Conventionnel,Suisse,NA,Lait écrémé,NA,Litre,NA,À partir du commerce de détail,Consommation,1.630554
11-2023,TVA incluse,Francs,NA,"OFAG, secteur Analyses du marché",NA,Prix,Lait et produits laitiers,Gruyère,Fromage,Bio,Suisse,NA,Gruyère,NA,kg,NA,À partir du commerce de détail,Consommation,26.787533
11-2023,TVA incluse,Francs,NA,"OFAG, secteur Analyses du marché",NA,Prix,Lait et produits laitiers,Crème à café UHT 15%,Crème,Conventionnel,Suisse,NA,Crème à café,NA,Litre,NA,À partir du commerce de détail,Consommation,4.017341
11-2023,TVA incluse,Francs,NA,"OFAG, secteur Analyses du marché",NA,Prix,Lait et produits laitiers,Lait drink pasteurisé,Lait de consommation,Conventionnel,Suisse,NA,Lait drink,NA,Litre,NA,À partir du commerce de détail,Consommation,1.714367
11-2023,TVA incluse,Francs,NA,"OFAG, secteur Analyses du marché",NA,Prix,Lait et produits laitiers,Yogourt aux fruits,Yogourt,Conventionnel,Suisse,NA,"Yogourt, autres fruits",NA,kg,NA,À partir du commerce de détail,Consommation,3.568176
11-2023,TVA incluse,Francs,NA,"OFAG, secteur Analyses du marché",NA,Prix,Lait et produits laitiers,Fromage à raclette,Fromage,Conventionnel,Suisse,NA,Fromage à raclette,NA,kg,NA,À partir du commerce de détail,Consommation,19.717561
11-2023,TVA incluse,Francs,NA,"OFAG, secteur Analyses du marché",NA,Prix,Lait et produits laitiers,Yogourt aux fruits,Yogourt,Bio,Suisse,NA,"Yogourt, autres fruits",NA,kg,NA,À partir du commerce de détail,Consommation,4.665166
11-2023,TVA incluse,Francs,NA,"OFAG, secteur Analyses du marché",NA,Prix,Lait et produits laitiers,Emmentaler surchoix,Fromage,Conventionnel,Suisse,NA,Emmentaler,NA,kg,NA,À partir du commerce de détail,Consommation,21.323644
11-2023,TVA incluse,Francs,NA,"OFAG, secteur Analyses du marché",NA,Prix,Lait et produits laitiers,Beurre de cuisine (Le Beurre),Beurre,Conventionnel,Suisse,NA,Beurre de cuisine,NA,kg,NA,À partir du commerce de détail,Consommation,15.536795
11-2023,TVA incluse,Francs,NA,"OFAG, secteur Analyses du marché",NA,Prix,Lait et produits laitiers,Crème entière UHT 35%,Crème,Bio,Suisse,NA,Crème entière,NA,Litre,NA,À partir du commerce de détail,Consommation,14.545597
11-2023,TVA incluse,Francs,NA,"OFAG, secteur Analyses du marché",NA,Prix,Lait et produits laitiers,Tête de Moine,Fromage,Conventionnel,Suisse,NA,Tête de Moine,NA,kg,NA,À partir du commerce de détail,Consommation,22.026989
11-2023,TVA incluse,Francs,NA,"OFAG, secteur Analyses du marché",NA,Prix,Lait et produits laitiers,Tilsit surchoix,Fromage,Conventionnel,Suisse,NA,Tilsit,NA,kg,NA,À partir du commerce de détail,Consommation,22.277368
